378410 BOB BRUCE 4014
105326 PAT LOPEZ 4003
235593 LONNY DUFFY 3995
193636 CARROLL GOODWIN 4017
372269 ALEX AYERS 4001
129911 NEVILLE CROSS 3995
293672 CLAUD DAVENPORT 4009
333621 DIRK SILVA 3998
144640 DWIGHT FORD 4007
111326 BRITT BURCH 3990
333031 LAZARO MASON 3990
249367 REFUGIO YATES 3991
378957 RICH CHANDLER 3992
211409 DERRICK ROWE 4006
397254 PRINCE FARLEY 3992
386702 TEDDY RAMOS 4001
292100 YONG EVANS 4019
173866 KRAIG BARLOW 4000
145677 AHMED CARSON 3992
318714 MERLIN HUDSON 3997
261380 MURRAY BYERS 4007
240319 AHMED BRITT 3997
356586 KURTIS HOLDER 4010
113603 LEMUEL MAXWELL 3999
362703 FREDERICK RUSSO 3994
278053 COLBY WILLIAMSON 3990
149155 KENNY CONWAY 4016
116542 GERARDO OLIVER 3995
314210 DARIUS STEELE 4008
341678 BENTON MORAN 4008
371448 ERNESTO POPE 4007
186160 SHIRLEY ADKINS 4000
286629 BENITO BURT 3999
159416 FRANKIE COBB 3998
252922 ISAIAS HEWITT 3998
397673 ELLIOT HARRELL 4006
372615 RYAN MCKAY 4016
251905 LINDSAY BENJAMIN 4019
316858 BROCK BOONE 4003
113138 KAREEM KENNEDY 4011
330765 LAMAR FAULKNER 3995
365353 STEVEN GROSS 4018
116730 RAYMOND BARRETT 3999
376098 JOHN GARNER 4006
338556 WHITNEY JENKINS 4012
154954 STERLING REYES 3993
225373 DREW RUSSO 4013
111544 DALE HINTON 3994
107212 VERN WILKINS 4005
285805 OCTAVIO HENRY 4011
337097 BLAINE ROCHA 4010
179587 FLORENTINO CAIN 4003
151960 BUDDY GILBERT 3993
149215 DYLAN DOTSON 4017
384103 LACY POTTER 4016
341290 STEVIE KEITH 4005
251830 MIKEL GALLEGOS 4008
319798 LESLIE TRAN 4004
191923 FREDERIC JACKSON 4008
149890 JEROLD HARRISON 4017
117792 WERNER ZIMMERMAN 4008
252516 AUGUSTUS MAYO 3993
209494 JC PETERSEN 4000
181700 HASSAN ARNOLD 3994
379193 SANTIAGO BRADLEY 4007
169785 TONY VAUGHN 3991
274015 ELLIS RAY 4017
193024 VICTOR HUDSON 4006
384666 EDWARDO LARA 4005
389213 LELAND RIVERA 4003
305297 DEANGELO BREWER 4016
395638 MARLON WILSON 3993
188963 WES LITTLE 3992
216098 ELWOOD ARMSTRONG 4006
365930 BENJAMIN PICKETT 3990
178077 LANE POLLARD 3992
286733 ANDREW PENA 4009
318337 RANDALL BOYLE 3992
134628 RAUL CARSON 4009
228790 GARRETT DELANEY 4002
163906 LEO VASQUEZ 3993
239822 STAN CLEMENTS 3999
204836 CHAD HODGES 4003
396328 DINO HESTER 4008
175486 KIETH COOKE 3995
280987 WARD FIELDS 4018
150502 JERROD VALDEZ 4018
203698 BEN RAMSEY 4004
375822 JAMISON SANFORD 4014
110692 CECIL MEADOWS 4009
248519 BORIS SALAS 3995
382238 JACK WALKER 4015
203094 WILLIAN TUCKER 3991
214423 FRANCIS SHARP 4007
129348 BUD BENSON 4003
355486 PARKER MARQUEZ 4001
292191 WALLACE BOOKER 4014
338488 ROSS FOSTER 3991
361053 TODD HUNT 4006
399496 LONNY TALLEY 4014
231266 WERNER SELLERS 3991
322433 RENATO HAWKINS 3998
276644 EMANUEL BENTON 4015
154117 ARIEL GLENN 4018
111289 HASSAN NORTON 4013
134178 THANH LINDSEY 3991
373223 LACY WHITNEY 4016
390955 JONAS PETERSON 4013
267114 JOHNNY ROJAS 4017
319986 BOYD FERRELL 4015
316065 JOHNNY PUCKETT 3998
270501 SHELDON HOLDER 4018
160213 NATHAN CARVER 3995
252481 NORBERTO CARR 3990
163361 WILLIS PAUL 3991
342840 CHUNG NAVARRO 4004
374363 LOGAN WALLACE 3995
367676 YONG RYAN 4018
316266 ALLEN NORMAN 4011
276044 JAMES SHIELDS 4005
211145 GREGORIO POTTER 3991
273762 LESLIE SAWYER 4002
261878 TOBY TERRELL 4007
368427 ARCHIE KELLER 4001
246246 MICHALE MITCHELL 3990
289705 HIRAM CHRISTIAN 3991
271412 RICO HORTON 3991
271373 VERN LONG 4010
242665 DIRK CURTIS 4017
256688 GROVER FERGUSON 3991
158380 FELIX FREDERICK 4011
170140 MURRAY RAY 3995
191841 GUILLERMO TERRY 3993
245914 WILBUR YORK 4018
120295 DONNELL ROGERS 3997
373114 GILBERTO MORTON 4017
305255 VAN GAY 3998
292659 LOYD MERCER 4001
135492 KENT SHEPARD 4013
365795 KOREY MCCOY 4015
365564 SEBASTIAN VINSON 4008
150326 SEYMOUR DAWSON 3999
