100093 DEAN WIGGINS 4010
100140 FLOYD HEATH 4015
100134 MARCOS DONALDSON 4006
100018 BRANT CARRILLO 4018
100126 LOYD FRYE 3996
100027 EDDIE PARSONS 4004
100038 ROOSEVELT CRANE 4009
100133 STACEY CASTANEDA 4002
100066 JAIME ORR 4011
100123 NORBERT BRYANT 3996
100033 KRIS ROWLAND 4009
100054 AURELIO TATE 4002
100059 BYRON SNYDER 3996
100068 TERRANCE PRINCE 3994
100024 SHELBY BENSON 4002
100028 PERCY SWEENEY 4006
100086 ALPHONSO MADDEN 4019
100023 DON OSBORNE 4019
100005 BLAKE VELAZQUEZ 4006
100118 FRANCISCO HART 4012
100135 JAME BRIGGS 3998
100139 ROSARIO CHAVEZ 4005
100097 DWIGHT COBB 4010
100065 MAURICE HODGES 3993
100084 REUBEN SANTANA 4001
100081 KAREEM FIELDS 4010
100109 SAL SHORT 3990
100050 HOMER LARSON 4007
100009 LYMAN BLACKBURN 4001
100074 ROLF BOYLE 3993
100130 STANTON BAKER 4019
100103 JAY MADDOX 3995
100060 BENNETT BARRERA 3999
100040 JIM VALENCIA 4004
100070 TOM ROGERS 4006
100047 ANTON BRAY 4010
100014 DONOVAN REID 4012
100088 CODY PACHECO 4008
100025 REINALDO ROLLINS 4014
100049 TERENCE LE 4009
100007 DAVE SANTOS 4012
100136 DILLON CONLEY 4018
100083 RALEIGH COLEMAN 4011
100003 KRAIG MARSHALL 3990
100078 TRUMAN HARRELL 4005
100142 JULES YANG 4011
100113 BRETT EVERETT 4005
100108 KASEY LANG 4009
100043 BARRETT DIAZ 3990
100102 HUNG WOODARD 4013
